15,  1,  1, 0.30104 15703 13893 97523 47570
15,  1,  2, 0.14812 97708 19171 45125 31803
15,  1,  3, 0.10072 23448 56814 83849 43616
15,  1,  4, 0.07705 94059 92853 14762 59473
15,  1,  5, 0.06258 45850 36391 69687 27829
15,  1,  6, 0.05265 30128 35834 53103 66298
15,  1,  7, 0.04530 78885 82841 59673 13092
15,  1,  8, 0.03957 36673 08569 13288 36250
15,  1,  9, 0.03490 35904 94140 88926 08037
15,  1, 10, 0.03096 14122 13575 30066 17646
15,  1, 11, 0.02752 11039 53074 11887 54621
15,  1, 12, 0.02441 26313 47049 89882 55615
15,  1, 13, 0.02148 19828 28459 31756 95420
15,  1, 14, 0.01853 33263 29026 66350 27865
15,  1, 15, 0.01511 37070 88303 44117 14865
15,  2,  2, 0.17912 15291 07299 55170 75052
15,  2,  3, 0.12241 76952 30142 23746 66888
15,  2,  4, 0.09390 67143 10152 57794 83240
15,  2,  5, 0.07639 12337 08756 12217 39266
15,  2,  6, 0.06433 90895 06850 65302 55846
15,  2,  7, 0.05540 74400 40832 63962 28786
15,  2,  8, 0.04842 38833 02207 16151 81440
15,  2,  9, 0.04272 94113 02042 81285 23570
15,  2, 10, 0.03791 77516 42150 98509 47985
15,  2, 11, 0.03371 51720 72093 75612 50424
15,  2, 12, 0.02991 52347 35717 86881 14491
15,  2, 13, 0.02633 03885 00847 43432 29436
15,  2, 14, 0.02272 13593 92708 08457 43908
15,  3,  3, 0.14073 22502 53284 13524 97909
15,  3,  4, 0.10821 38452 50790 82513 98453
15,  3,  5, 0.08816 05755 15738 85244 79552
15,  3,  6, 0.07432 68436 53112 19864 86326
15,  3,  7, 0.06405 58182 26034 06262 74660
15,  3,  8, 0.05601 36122 43861 29452 85588
15,  3,  9, 0.04944 85109 72784 22689 62642
15,  3, 10, 0.04389 60669 23271 19151 12079
15,  3, 11, 0.03904 26915 18300 55252 92396
15,  3, 12, 0.03465 13381 42948 11427 27645
15,  3, 13, 0.03050 60358 83610 71829 47388
15,  4,  4, 0.12223 28270 30676 71375 19714
15,  4,  5, 0.09973 23940 91950 61048 67267
15,  4,  6, 0.08417 05696 28769 46913 87329
15,  4,  7, 0.07259 46868 47634 84667 07778
15,  4,  8, 0.06351 75906 55246 98430 88691 
15,  4,  9, 0.05609 90511 93550 32662 75288
15,  4, 10, 0.04981 87836 33230 00823 67064
15,  4, 11, 0.04432 47451 97705 78433 84136
15,  4, 12, 0.03935 01819 41722 82381 63816
15,  5,  5, 0.11186 98986 20455 06628 76297
15,  5,  6, 0.09452 06004 28910 75126 94745
15,  5,  7, 0.08158 91121 64805 83182 63071
15,  5,  8, 0.07143 31681 23398 72701 06638
15,  5,  9, 0.06312 24388 88241 20853 14192
15,  5, 10, 0.05607 95064 33287 53164 24854
15,  5, 11, 0.04991 27742 46889 38958 24712
15,  6,  6, 0.10586 66366 30434 12447 90000
15,  6,  7, 0.09146 83203 46047 24161 39203
15,  6,  8, 0.08014 07559 44185 90779 29769
15,  6,  9, 0.07085 82099 81432 34170 95160
15,  6, 10, 0.06298 24401 98907 76413 85695
15,  7,  7, 0.10269 16922 42873 64222 25892
15,  7,  8, 0.09004 99963 81346 57117 64381
15,  7,  9, 0.07967 38323 35391 76163 04247
15,  8,  8, 0.10169 46520 82368 44156 14485
